url,index,resolved,status,error,redirects,chain
https://www.smashwords.com/books/download/100021/6/latest/0/0/three-plays.txt,0,https://www.smashwords.com/books/download/100021/6/latest/0/0/three-plays.txt,503,,,hit
https://www.smashwords.com/books/download/100047/6/latest/0/0/frey.txt,1,https://www.smashwords.com/books/download/100047/6/latest/0/0/frey.txt,503,,,hit
https://www.smashwords.com/books/download/100171/6/latest/0/0/broken-a-ya-paranormal-romance-novel-volume-1-of-the-reflect.txt,2,https://www.smashwords.com/books/download/100171/6/latest/0/0/broken-a-ya-paranormal-romance-novel-volume-1-of-the-reflect.txt,503,,,hit
https://www.smashwords.com/books/download/100290/6/latest/0/0/fall-of-igneeria-the-half-ling.txt,3,https://www.smashwords.com/books/download/100290/6/latest/0/0/fall-of-igneeria-the-half-ling.txt,503,,,hit
https://www.smashwords.com/books/download/100300/6/latest/0/0/reading-brother-lawrence.txt,4,https://www.smashwords.com/signup/login/books/100300,200,,1,location-header|hit
https://www.smashwords.com/books/download/100317/6/latest/0/0/gardner-remembers-the-lost-tapes.txt,5,https://www.smashwords.com/books/download/100317/6/latest/0/0/gardner-remembers-the-lost-tapes.txt,503,,,hit
https://www.smashwords.com/books/download/100401/6/latest/0/0/how-to-die-consciously-secrets-from-beyond-the-veil.txt,6,https://www.smashwords.com/signup/login/books/100401,200,,1,location-header|hit
https://www.smashwords.com/books/download/100588/6/latest/0/0/defining-moments-a-suburban-fathers-journey-into-his-sons-ox.txt,7,https://www.smashwords.com/signup/login/books/100588,200,,1,location-header|hit
https://www.smashwords.com/books/download/100626/6/latest/0/0/a-walk-in-the-garden.txt,8,https://www.smashwords.com/books/download/100626/6/latest/0/0/a-walk-in-the-garden.txt,503,,,hit
https://www.smashwords.com/books/download/100628/6/latest/0/0/the-celestial-paladin.txt,9,https://www.smashwords.com/signup/login/books/100628,200,,1,location-header|hit
https://www.smashwords.com/books/download/10065/6/latest/0/0/uncommon-opportunities-an-agenda-for-peace-and-equitable-dev.txt,10,https://www.smashwords.com/books/download/10065/6/latest/0/0/uncommon-opportunities-an-agenda-for-peace-and-equitable-dev.txt,503,,,hit
https://www.smashwords.com/books/download/100678/6/latest/0/0/escaping-hell.txt,11,https://www.smashwords.com/books/download/100678/6/latest/0/0/escaping-hell.txt,503,,,hit
https://www.smashwords.com/books/download/100970/6/latest/0/0/ties-to-the-blood-moon.txt,12,https://www.smashwords.com/books/download/100970/6/latest/0/0/ties-to-the-blood-moon.txt,503,,,hit
https://www.smashwords.com/books/download/100988/6/latest/0/0/conceptive-c.txt,13,https://www.smashwords.com/books/download/100988/6/latest/0/0/conceptive-c.txt,503,,,hit
https://www.smashwords.com/books/download/101051/6/latest/0/0/bound-an-arelia-larue-novel-1-ya-paranormal-romance.txt,14,https://www.smashwords.com/books/download/101051/6/latest/0/0/bound-an-arelia-larue-novel-1-ya-paranormal-romance.txt,503,,,hit
https://www.smashwords.com/books/download/101071/6/latest/0/0/tempt-ava-delaney-3.txt,15,https://www.smashwords.com/signup/login/books/101071,200,,1,location-header|hit
https://www.smashwords.com/books/download/101154/6/latest/0/0/butt-washing-funny.txt,16,https://www.smashwords.com/books/download/101154/6/latest/0/0/butt-washing-funny.txt,503,,,hit
https://www.smashwords.com/books/download/101158/6/latest/0/0/how-gods-bleed.txt,17,https://www.smashwords.com/books/download/101158/6/latest/0/0/how-gods-bleed.txt,503,,,hit
https://www.smashwords.com/books/download/101163/6/latest/0/0/arrival-of-the-traveler.txt,18,https://www.smashwords.com/books/download/101163/6/latest/0/0/arrival-of-the-traveler.txt,503,,,hit
